smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.NumberOfCatchStatements,metrics.ExceptionalLOC,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfTryStatements,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount,metrics.cC,metrics.cDISP,metrics.cINT,metrics.cLOC,metrics.changingClasses,metrics.changingMethods,metrics.classLinesOfCode,metrics.couplingDispersion,metrics.couplingIntensity,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.lCOM,metrics.lCOM2,metrics.lCOM3,metrics.lackOfCohesionOfMethods,metrics.mLOC,metrics.maxCallChain,metrics.maxNesting,metrics.methodLinesOfCode,metrics.nOAM,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.numberOfAccessorMethods,metrics.overrideRatio,metrics.parameterCount,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.wMC,metrics.wOC,metrics.weighOfClass,metrics.weightedMethodCount
activiti-39,LongMethod,activiti,org.activiti.cycle.impl.connector.fs.FileSystemPluginDefinition.addArtifactTypes([List<ArtifactType>]),Organic,"MLOC > 30, startingLine: 38, EndingLine: 86",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,0,0,0,0,0,0,1,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0
activiti-101,LongMethod,activiti,org.activiti.cycle.impl.connector.demo.DemoConnectorTest.testFirstPlay,Organic,"MLOC > 30, startingLine: 37, EndingLine: 118",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7142857313156128,14,2,0,0,0,0,0,0,4,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0
activiti-290,LongMethod,activiti,org.activiti.engine.impl.jobexecutor.JobAcquisitionThread.run,Organic,"MLOC > 30, startingLine: 50, EndingLine: 110",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'DispersedCoupling']",37,0,2,74,0,2,0,0,0,0,0,0,0,0,0,0,0.5555555820465088,9,11,0,0,0,0,0,0,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0
activiti-395,LongMethod,activiti,org.activiti.engine.impl.util.json.JSONArray.JSONArray([JSONTokener]),Organic,"MLOC > 30, startingLine: 101, EndingLine: 149",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",33,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.25,4,16,0,0,0,0,0,0,2,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0
activiti-399,LongMethod,activiti,"org.activiti.engine.impl.util.json.JSONML.parse([XMLTokener, boolean, JSONArray])",Organic,"MLOC > 30, startingLine: 39, EndingLine: 226",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'IntensiveCoupling', 'BrainMethod']",100,0,0,0,0,0,12,0,1,0,0,0,0,1,3,0,0.3333333432674408,15,56,0,0,0,0,0,0,2,11,0,0,0,17,0,0,3,0,0,0,0,0,0,0
activiti-403,LongMethod,activiti,org.activiti.engine.impl.util.json.JSONML.toString([JSONArray]),Organic,"MLOC > 30, startingLine: 298, EndingLine: 375",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'IntensiveCoupling', 'BrainMethod']",52,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0.4000000059604645,10,14,0,0,0,0,0,0,3,6,0,0,0,10,0,0,1,0,0,0,0,0,0,0
activiti-407,LongMethod,activiti,org.activiti.engine.impl.util.json.JSONML.toString([JSONObject]),Organic,"MLOC > 30, startingLine: 377, EndingLine: 455",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'IntensiveCoupling', 'BrainMethod']",51,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0.4000000059604645,10,14,0,0,0,0,0,0,3,6,0,0,0,10,0,0,1,0,0,0,0,0,0,0
activiti-415,LongMethod,activiti,org.activiti.engine.impl.util.json.JSONObject.JSONObject([JSONTokener]),Organic,"MLOC > 30, startingLine: 172, EndingLine: 230",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",33,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0.3333333432674408,6,15,0,0,0,0,0,0,2,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0
activiti-430,LongMethod,activiti,"org.activiti.engine.impl.util.json.XML.parse([XMLTokener, JSONObject, String])",Organic,"MLOC > 30, startingLine: 119, EndingLine: 281",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'IntensiveCoupling', 'BrainMethod']",89,0,0,0,0,0,10,0,1,0,0,0,0,1,2,0,0.3076923191547394,13,50,0,0,0,0,0,0,2,15,0,0,0,15,0,0,3,0,0,0,0,0,0,0
activiti-440,LongMethod,activiti,org.activiti.engine.impl.util.json.XMLTokener.nextMeta,Organic,"MLOC > 30, startingLine: 145, EndingLine: 208",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",46,0,0,0,0,0,2,0,1,0,0,0,0,2,2,0,0.3333333432674408,3,26,0,0,0,0,0,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0
activiti-442,LongMethod,activiti,org.activiti.engine.impl.util.json.XMLTokener.nextToken,Organic,"MLOC > 30, startingLine: 211, EndingLine: 292",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",57,0,0,0,0,0,4,0,1,0,0,0,0,2,2,0,0.5,4,30,0,0,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0
activiti-550,LongMethod,activiti,org.activiti.engine.test.api.runtime.ExecutionQueryTest.testQueryStringVariable,Organic,"MLOC > 30, startingLine: 175, EndingLine: 261",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142984867096,14,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-553,LongMethod,activiti,org.activiti.engine.test.api.runtime.ExecutionQueryTest.testQueryLongVariable,Organic,"MLOC > 30, startingLine: 263, EndingLine: 340",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-556,LongMethod,activiti,org.activiti.engine.test.api.runtime.ExecutionQueryTest.testQueryDoubleVariable,Organic,"MLOC > 30, startingLine: 342, EndingLine: 419",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-559,LongMethod,activiti,org.activiti.engine.test.api.runtime.ExecutionQueryTest.testQueryIntegerVariable,Organic,"MLOC > 30, startingLine: 421, EndingLine: 498",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-562,LongMethod,activiti,org.activiti.engine.test.api.runtime.ExecutionQueryTest.testQueryShortVariable,Organic,"MLOC > 30, startingLine: 500, EndingLine: 580",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923191547394,13,1,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
