smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.NumberOfCatchStatements,metrics.ExceptionalLOC,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfTryStatements,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount,metrics.cC,metrics.cDISP,metrics.cINT,metrics.cLOC,metrics.changingClasses,metrics.changingMethods,metrics.classLinesOfCode,metrics.couplingDispersion,metrics.couplingIntensity,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.lCOM,metrics.lCOM2,metrics.lCOM3,metrics.lackOfCohesionOfMethods,metrics.mLOC,metrics.maxCallChain,metrics.maxNesting,metrics.methodLinesOfCode,metrics.nOAM,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.numberOfAccessorMethods,metrics.overrideRatio,metrics.parameterCount,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.wMC,metrics.wOC,metrics.weighOfClass,metrics.weightedMethodCount
activiti-15,LongMethod,activiti,"org.activiti.cycle.impl.conf.CycleDbSqlSessionFactory.executeSchemaResource([String, String, SqlSessionFactory])",Organic,"MLOC > 30, startingLine: 71, EndingLine: 123",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],36,1,2,36,0,2,3,0,0,0,0,0,0,1,2,0,1.0,1,10,0,0,0,0,0,0,2,4,0,0,0,18,0,0,3,0,0,0,0,0,0,0
activiti-79,LongMethod,activiti,org.activiti.cycle.impl.plugin.PluginFinder.findPluginDefinitionClasses,Organic,"MLOC > 30, startingLine: 73, EndingLine: 114",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],33,0,1,33,1,1,0,0,0,0,0,0,0,1,2,0,0.0,0,9,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0
activiti-114,LongMethod,activiti,org.activiti.engine.impl.ant.DeployBarTask.execute,Organic,"MLOC > 30, startingLine: 43, EndingLine: 116",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'MessageChain', 'DispersedCoupling']",45,2,1,45,0,3,4,2,1,0,0,0,0,0,0,0,0.6000000238418579,10,13,0,0,0,0,0,0,4,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0
activiti-185,LongMethod,activiti,org.activiti.engine.impl.cfg.ProcessEngineConfiguration.ProcessEngineConfiguration,Organic,"MLOC > 30, startingLine: 150, EndingLine: 208",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
activiti-204,LongMethod,activiti,org.activiti.engine.impl.cmd.GetRenderedFormCmd.execute([CommandContext]),Organic,"MLOC > 30, startingLine: 43, EndingLine: 96",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'DispersedCoupling']",32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.6000000238418579,15,11,0,0,0,0,0,0,2,4,0,0,0,15,0,0,1,0,0,0,0,0,0,0
activiti-228,LongMethod,activiti,"org.activiti.engine.impl.db.DbSqlSessionFactory.executeSchemaResource([String, String, SqlSessionFactory])",Organic,"MLOC > 30, startingLine: 257, EndingLine: 309",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],36,1,2,36,0,2,3,0,0,0,0,0,0,1,2,0,1.0,1,10,0,0,0,0,0,0,2,4,0,0,0,18,0,0,3,0,0,0,0,0,0,0
activiti-416,LongMethod,activiti,org.activiti.engine.impl.util.json.JSONObject.quote([String]),Organic,"MLOC > 30, startingLine: 1096, EndingLine: 1159",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'ShotgunSurgery']",46,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0.0,0,15,0,0,0,0,0,0,1,2,0,0,0,7,0,0,1,0,0,0,0,0,0,0
activiti-425,LongMethod,activiti,org.activiti.engine.impl.util.json.JSONTokener.nextString([char]),Organic,"MLOC > 30, startingLine: 229, EndingLine: 288",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],44,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0.3333333432674408,3,19,0,0,0,0,0,0,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0
activiti-433,LongMethod,activiti,"org.activiti.engine.impl.util.json.XML.toString([Object, String])",Organic,"MLOC > 30, startingLine: 319, EndingLine: 436",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'MessageChain', 'BrainMethod']",67,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0.375,8,25,0,0,0,0,0,0,4,6,0,0,0,11,0,0,2,0,0,0,0,0,0,0
activiti-443,LongMethod,activiti,org.activiti.engine.impl.util.json.XMLTokener.skipPast([String]),Organic,"MLOC > 30, startingLine: 295, EndingLine: 364",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],32,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1.0,1,10,0,0,0,0,0,0,1,3,0,0,0,8,0,0,1,0,0,0,0,0,0,0
activiti-471,LongMethod,activiti,org.activiti.engine.ProcessEngineBuilder.configureFromProperties([Properties]),Organic,"MLOC > 30, startingLine: 138, EndingLine: 227",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],49,0,1,49,0,1,2,0,0,0,0,0,0,1,1,0,0.0,0,17,0,0,0,0,0,0,1,2,0,0,0,30,0,0,1,0,0,0,0,0,0,0
activiti-701,LongMethod,activiti,org.activiti.engine.test.bpmn.webservice.WSDLImporterTest.testImport,Organic,"MLOC > 30, startingLine: 35, EndingLine: 84",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,10,1,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
activiti-805,LongMethod,activiti,"org.activiti.el.juel.misc.TypeConverterImpl.coerceToType([Object, Class<?>])",Organic,"MLOC > 30, startingLine: 306, EndingLine: 351",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],51,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0.1428571492433548,14,15,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0
activiti-823,LongMethod,activiti,"org.activiti.el.juel.tree.impl.ast.AstFunction.invoke([Bindings, ELContext, Object, Method])",Organic,"MLOC > 30, startingLine: 46, EndingLine: 114",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'LongParameterList', 'BrainMethod']",39,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0.375,8,19,0,0,0,0,0,0,2,7,0,0,0,21,0,0,4,0,0,0,0,0,0,0
activiti-856,LongMethod,activiti,org.activiti.el.juel.tree.impl.Parser.literal,Organic,"MLOC > 30, startingLine: 682, EndingLine: 719",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,['LongMethod'],32,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0.375,8,9,0,0,0,0,0,0,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
