compositeID,commit_before,commit_after,element,smellTypes,project
effect-1563,429c142097888b459a68d55836506d79609c1aa1,400c63820a33187544ba5076957016be459bb9ee,integration.tests.JoinCollectionAndMapIT.should_persist_join_collection_and_map,"['FeatureEnvy', 'LongMethod', 'MessageChain']",achilles
effect-234,1b318a23db0f48d2ce59806e6b26b5b52e57b4d6,7892f827504b6a51228ed79a054d936bdc330000,"info.archinnov.achilles.internal.statement.prepared.PreparedStatementBinder.bindForCollectionAndMapUpdate([PersistentStateHolder, PreparedStatement, DirtyCheckChangeSet])","['FeatureEnvy', 'LongMethod', 'MessageChain', 'ShotgunSurgery']",achilles
effect-193,655279b97d1f0336caaacb16f0298cb1a638e746,c7854d6b37b5d6b7425dfbe4e6b35a045a52de3e,"com.koushikdutta.async.http.SocketIOClient.connect([AsyncHttpClient, SocketIORequest, SocketIOConnectCallback])",['LongMethod'],androidasync
effect-193,655279b97d1f0336caaacb16f0298cb1a638e746,c7854d6b37b5d6b7425dfbe4e6b35a045a52de3e,"com.koushikdutta.async.http.SocketIOClient.attach([SocketIOConnectCallback, FutureImpl])","['FeatureEnvy', 'LongMethod', 'DispersedCoupling']",androidasync
effect-193,0249f29c1bb8037b72f860b12295dcbfb15d6f28,54aa882d7defa633c341d67e5324cef5d416eac6,"com.koushikdutta.async.http.SocketIOClient.connect([AsyncHttpClient, String, SocketIOConnectCallback])",['LongMethod'],androidasync
effect-193,4fd132ba0f8c11f33c49372a074e6d0a6e9a4a0a,6a66a9bbe058d0a345ceb94c6efd0209e4dabaca,"com.koushikdutta.async.http.SocketIOClient.connect([AsyncHttpClient, String, SocketIOConnectCallback])",['LongMethod'],androidasync
effect-1849,465dcc58c03c6d599f3a49264518416a7a608346,e38b9bcd1477f0e642a0a86a273a168c2179b871,"org.geoserver.importer.rest.ImportController.createImport([Long, ImportContext, boolean, boolean])","['FeatureEnvy', 'LongMethod', 'LongParameterList', 'IntensiveCoupling']",geoserver
effect-1376,ab7786be4a8d9f3136772548ad0116b4bab7d8f5,5424f5bf6384869a7e629d775230a4d4bb3cbb75,"org.geoserver.rest.catalog.DataStoreFileController.dataStoresGet([String, String])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",geoserver
effect-2135,280b9d13a0971b640fa388c4c88e182b93b6858c,4f059e564329b134cb5dc10021b09fc120c9117b,org.geoserver.gwc.layer.GeoServerTileLayer.getBounds([SRS]),['LongMethod'],geoserver
effect-2347,ab7786be4a8d9f3136772548ad0116b4bab7d8f5,5424f5bf6384869a7e629d775230a4d4bb3cbb75,org.geoserver.wms.kvp.PALFileLoader.PALFileLoader([Resource]),['LongMethod'],geoserver
effect-60,7c33691135b96281bccbe063f247b858515f394f,6b857d094f86236e0e75afdf159d6b5142b34e31,"com.netflix.hystrix.contrib.sample.stream.HystrixConfigSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])",['LongMethod'],hystrix
effect-60,7c33691135b96281bccbe063f247b858515f394f,6b857d094f86236e0e75afdf159d6b5142b34e31,"com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])",['LongMethod'],hystrix
effect-60,c0d6d6c85daf60ea9568e88665ba84a571dee1a7,e712bb7c69c18f2acd572650a3364a0869196337,"com.netflix.hystrix.contrib.sample.stream.HystrixSampleSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix
effect-399,3404ae10f1ebe98a3a4309f6bef93fcae6db2305,da0028794739248c5127125c88a2e84170538cd3,com.netflix.hystrix.HystrixCommand.execute,"['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix
effect-399,ac613585b9cca0175fb95298aef6fa54d346cf19,8e0a43c3b1cff012dd4096443d1260242c5be646,"com.netflix.hystrix.HystrixCommand.toObservable([Scheduler, boolean])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix
effect-399,52104a88a4d7a1ad20758f6e66c9704bb8ac9f1b,e8f1e1692a0140410a69fe5699ade5cf050eefca,com.netflix.hystrix.HystrixCommand.queue,['LongMethod'],hystrix
effect-399,52104a88a4d7a1ad20758f6e66c9704bb8ac9f1b,e8f1e1692a0140410a69fe5699ade5cf050eefca,"com.netflix.hystrix.HystrixCommand.toObservable([Scheduler, boolean])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix
effect-156,3e8cb9418f3715cbb52e468ee4443ecfb01fb03a,2ff16ff5c732cf0c81295eef7f0f86c82b136ea1,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleMultiThreadedRequests,"['FeatureEnvy', 'LongMethod']",hystrix
effect-156,86c37f10de377006b7361813155dcced297cd45c,757c3895b3ac30e81bceae7ba19d6ed6cea50eef,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleSingleThreadedRequests,['LongMethod'],hystrix
effect-156,86c37f10de377006b7361813155dcced297cd45c,757c3895b3ac30e81bceae7ba19d6ed6cea50eef,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleMultiThreadedRequests,['LongMethod'],hystrix
effect-156,3e8cb9418f3715cbb52e468ee4443ecfb01fb03a,2ff16ff5c732cf0c81295eef7f0f86c82b136ea1,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleSingleThreadedRequests,"['FeatureEnvy', 'LongMethod']",hystrix
effect-156,3e8cb9418f3715cbb52e468ee4443ecfb01fb03a,2ff16ff5c732cf0c81295eef7f0f86c82b136ea1,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.testMultipleSubscribers,"['FeatureEnvy', 'LongMethod']",hystrix
effect-1,255a569b65fc850dd0394acfa003d6b63c6a2308,840e63c63d5c79d6bf719e3743c347cbcb1f4bee,com.netflix.hystrix.UnsubscribedTasksRequestCacheTest.testOneCommandIsUnsubscribed,"['FeatureEnvy', 'LongMethod']",hystrix
effect-132,3d180d324f583174d9575840525fc8bd1e8678d0,f20b8ff641cbf6da18f9770a429a731b8e788702,com.netflix.hystrix.contrib.servopublisher.HystrixServoMetricsPublisherCollapser.getServoMonitors,"['FeatureEnvy', 'LongMethod']",hystrix
effect-84,7b54e5f3c6a0604a9dd7419534e86b7e534f66af,bd40f20464c17602eab0c843f54dd7954cdbf8b9,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,['LongMethod'],hystrix
