smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.ExceptionalLOC,metrics.NumberOfCatchStatements,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount,metrics.cC,metrics.cDISP,metrics.cINT,metrics.cLOC,metrics.changingClasses,metrics.changingMethods,metrics.classLinesOfCode,metrics.couplingDispersion,metrics.couplingIntensity,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.lCOM,metrics.lCOM2,metrics.lCOM3,metrics.lackOfCohesionOfMethods,metrics.mLOC,metrics.maxCallChain,metrics.maxNesting,metrics.methodLinesOfCode,metrics.nOAM,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.numberOfAccessorMethods,metrics.overrideRatio,metrics.parameterCount,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.wMC,metrics.wOC,metrics.weighOfClass,metrics.weightedMethodCount
bytebuddy-231,LongMethod,bytebuddy,net.bytebuddy.description.annotation.AbstractAnnotationDescriptionTest.testEquals,Organic,"MLOC > 30, startingLine: 220, EndingLine: 264",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.800000011920929,5,1,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
bytebuddy-251,LongMethod,bytebuddy,net.bytebuddy.description.annotation.AnnotationDescriptionLatentTest.build([Annotation]),Organic,"MLOC > 30, startingLine: 8, EndingLine: 66",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'IntensiveCoupling']",55,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0.03846153989434242,26,50,0,0,0,0,0,0,2,25,0,0,0,4,0,0,1,0,0,0,0,0,0,0
bytebuddy-331,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testIsDefault,Organic,"MLOC > 30, startingLine: 759, EndingLine: 798",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3414634168148041,41,2,0,0,0,0,0,0,6,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
bytebuddy-382,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionTest.testJavaName,Organic,"MLOC > 30, startingLine: 196, EndingLine: 220",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy']",68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-386,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionTest.testEquals,Organic,"MLOC > 30, startingLine: 282, EndingLine: 300",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy']",33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,4,1,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
bytebuddy-392,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionTest.testIsAssignable,Organic,"MLOC > 30, startingLine: 376, EndingLine: 416",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy']",116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-410,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionTest.testBoxed,Organic,"MLOC > 30, startingLine: 613, EndingLine: 625",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy']",32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-412,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionTest.testUnboxed,Organic,"MLOC > 30, startingLine: 627, EndingLine: 639",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy']",32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-441,LongMethod,bytebuddy,net.bytebuddy.description.type.TypeDescriptionGenericVisitorSubstitutorForAttachmentTest.testAttachment,Organic,"MLOC > 30, startingLine: 19, EndingLine: 46",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.30000001192092896,20,1,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
bytebuddy-462,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionGenericVariableDefiningTest.testTypeVariableU,Organic,"MLOC > 30, startingLine: 54, EndingLine: 84",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.695652186870575,23,1,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
bytebuddy-465,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionGenericVariableDefiningTest.testTypeVariableV,Organic,"MLOC > 30, startingLine: 86, EndingLine: 135",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.40425533056259155,47,1,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
bytebuddy-485,LongMethod,bytebuddy,net.bytebuddy.description.type.AbstractTypeDescriptionGenericVariableDefiningTest.testGenericInnerTypeAnnotationReceiverTypeOnMethod,Organic,"MLOC > 30, startingLine: 353, EndingLine: 387",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6399999856948853,25,1,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
bytebuddy-497,LongMethod,bytebuddy,net.bytebuddy.description.type.TypeDescriptionGenericVisitorAssignerTest.setUp,Organic,"MLOC > 30, startingLine: 51, EndingLine: 91",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.37362638115882874,91,1,0,0,0,0,0,0,4,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
bytebuddy-531,LongMethod,bytebuddy,net.bytebuddy.description.type.TypeDescriptionGenericAnnotationReaderTest.testObjectProperties,Organic,"MLOC > 30, startingLine: 82, EndingLine: 148",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'FeatureEnvy', 'MessageChain']",85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4545454680919647,44,1,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
