smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.ExceptionalLOC,metrics.NumberOfCatchStatements,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount,metrics.cC,metrics.cDISP,metrics.cINT,metrics.cLOC,metrics.changingClasses,metrics.changingMethods,metrics.classLinesOfCode,metrics.couplingDispersion,metrics.couplingIntensity,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.lCOM,metrics.lCOM2,metrics.lCOM3,metrics.lackOfCohesionOfMethods,metrics.mLOC,metrics.maxCallChain,metrics.maxNesting,metrics.methodLinesOfCode,metrics.nOAM,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.numberOfAccessorMethods,metrics.overrideRatio,metrics.parameterCount,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.wMC,metrics.wOC,metrics.weighOfClass,metrics.weightedMethodCount
bytebuddy-1,LongMethod,bytebuddy,net.bytebuddy.android.test.TestActivity.TestRun.onClick([View]),Organic,"MLOC > 30, startingLine: 112, EndingLine: 153",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",32,0,64,4,0,1,4,0,0,0,0,0,0,0,0,0,0.8999999761581421,10,6,0,0,0,0,0,0,5,1,0,0,0,12,0,0,1,0,0,0,0,0,0,0
bytebuddy-9,LongMethod,bytebuddy,net.bytebuddy.test.utility.ObjectPropertyAssertion.apply,Organic,"MLOC > 30, startingLine: 131, EndingLine: 184",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'InflatedException']",41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,2,14,0,0,0,0,0,0,3,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0
bytebuddy-11,LongMethod,bytebuddy,"net.bytebuddy.test.utility.ObjectPropertyAssertion.putInstance([Class<?>, Object, Object, int])",Organic,"MLOC > 30, startingLine: 200, EndingLine: 245",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'LongParameterList']",50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,3,22,0,0,0,0,0,0,2,10,0,0,0,27,0,0,4,0,0,0,0,0,0,0
bytebuddy-53,LongMethod,bytebuddy,"net.bytebuddy.build.gradle.TransformationAction.processClassFile([File, String, ByteBuddy, EntryPoint, MethodNameTransformer, ClassFileLocator, TypePool, List<Plugin>])",Organic,"MLOC > 30, startingLine: 191, EndingLine: 258",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'LongParameterList', 'DispersedCoupling']",36,0,108,4,0,6,4,0,0,0,0,0,0,1,1,0,0.8181818127632141,11,15,0,0,0,0,0,0,2,4,0,0,0,23,0,0,8,0,0,0,0,0,0,0
bytebuddy-60,LongMethod,bytebuddy,,Organic,"MLOC > 30, startingLine: 108, EndingLine: 150",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0,9,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-62,LongMethod,bytebuddy,"null([Class<?>, Object, Object, int])",Organic,"MLOC > 30, startingLine: 152, EndingLine: 197",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'LongParameterList', 'LongParameterList', 'LongParameterList', 'LongParameterList']",50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,22,0,0,0,0,0,0,2,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0
bytebuddy-69,LongMethod,bytebuddy,net.bytebuddy.android.AndroidClassLoadingStrategyTest.testProcessing,Organic,"MLOC > 30, startingLine: 63, EndingLine: 86",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
bytebuddy-90,LongMethod,bytebuddy,,Organic,"MLOC > 30, startingLine: 108, EndingLine: 153",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],36,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0,10,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-92,LongMethod,bytebuddy,"null([Class<?>, Object, Object, int])",Organic,"MLOC > 30, startingLine: 155, EndingLine: 200",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'LongParameterList', 'LongParameterList', 'LongParameterList', 'LongParameterList']",50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,22,0,0,0,0,0,0,2,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0
bytebuddy-188,LongMethod,bytebuddy,net.bytebuddy.description.field.AbstractFieldDescriptionTest.testEquals,Organic,"MLOC > 30, startingLine: 86, EndingLine: 109",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
bytebuddy-190,LongMethod,bytebuddy,net.bytebuddy.description.field.AbstractFieldDescriptionTest.testIsVisibleTo,Organic,"MLOC > 30, startingLine: 130, EndingLine: 176",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-238,LongMethod,bytebuddy,net.bytebuddy.description.annotation.AbstractAnnotationDescriptionTest.testValues,Organic,"MLOC > 30, startingLine: 316, EndingLine: 368",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,3,1,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
bytebuddy-239,LongMethod,bytebuddy,net.bytebuddy.description.annotation.AbstractAnnotationDescriptionTest.testValuesDefaults,Organic,"MLOC > 30, startingLine: 370, EndingLine: 422",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,3,1,0,0,0,0,0,0,2,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
bytebuddy-309,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testEqualsMethod,Organic,"MLOC > 30, startingLine: 169, EndingLine: 220",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,6,1,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
bytebuddy-310,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testEqualsConstructor,Organic,"MLOC > 30, startingLine: 222, EndingLine: 273",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,6,1,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
bytebuddy-314,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testParameterNameAndModifiers,Organic,"MLOC > 30, startingLine: 331, EndingLine: 359",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8333333134651184,6,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-317,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testMethodIsVisibleTo,Organic,"MLOC > 30, startingLine: 395, EndingLine: 445",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-319,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testConstructorIsVisibleTo,Organic,"MLOC > 30, startingLine: 447, EndingLine: 497",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-321,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testMethodIsAccessibleTo,Organic,"MLOC > 30, startingLine: 499, EndingLine: 549",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-323,LongMethod,bytebuddy,net.bytebuddy.description.method.AbstractMethodDescriptionTest.testConstructorIsAccessibleTo,Organic,"MLOC > 30, startingLine: 551, EndingLine: 601",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'MessageChain']",81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-853,LongMethod,bytebuddy,net.bytebuddy.description.enumeration.AbstractEnumerationDescriptionTest.testEquals,Organic,"MLOC > 30, startingLine: 74, EndingLine: 97",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6666666865348816,3,1,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
bytebuddy-874,LongMethod,bytebuddy,net.bytebuddy.asm.AdviceNoRegularReturnWithinAdviceTest.data,Organic,"MLOC > 30, startingLine: 29, EndingLine: 63",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-897,LongMethod,bytebuddy,net.bytebuddy.asm.AdviceSuppressionTest.data,Organic,"MLOC > 30, startingLine: 21, EndingLine: 65",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytebuddy-1227,LongMethod,bytebuddy,net.bytebuddy.asm.AdviceSkipOnDefaultValueTest.data,Organic,"MLOC > 30, startingLine: 21, EndingLine: 105",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bytebuddy-1252,LongMethod,bytebuddy,net.bytebuddy.asm.AdviceTypeTest.data,Organic,"MLOC > 30, startingLine: 50, EndingLine: 74",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,['LongMethod'],43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
bytebuddy-1260,LongMethod,bytebuddy,"net.bytebuddy.asm.AdviceTypeTest.BooleanInlineAdvice.enter([boolean, Object, boolean, boolean, Object[], boolean, boolean, boolean, boolean, boolean])",Organic,"MLOC > 30, startingLine: 271, EndingLine: 311",afcbf01d63a55ea421d8b5fb95c75805cc89dae1,"['LongMethod', 'LongParameterList']",33,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.0,0,9,0,0,0,0,0,0,1,1,0,0,0,17,0,0,10,0,0,0,0,0,0,0
