smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.cLOC,metrics.classLinesOfCode,metrics.mLOC,metrics.methodLinesOfCode,metrics.cC,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.maxCallChain,metrics.parameterCount,metrics.overrideRatio,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.maxNesting,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.nOAM,metrics.numberOfAccessorMethods,metrics.wMC,metrics.weightedMethodCount,metrics.wOC,metrics.weighOfClass,metrics.cINT,metrics.couplingIntensity,metrics.cDISP,metrics.couplingDispersion,metrics.changingClasses,metrics.changingMethods,metrics.lCOM,metrics.lackOfCohesionOfMethods,metrics.lCOM2,metrics.lCOM3,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.NumberOfCatchStatements,metrics.ExceptionalLOC,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount
checkstyle-67,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.comments.CommentsTest.buildInput1,Organic,"MLOC > 30, startingLine: 84, EndingLine: 265",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-69,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.comments.CommentsTest.buildInput2,Organic,"MLOC > 30, startingLine: 300, EndingLine: 597",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-685,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheckTest.testNullClassLoader,Organic,"MLOC > 30, startingLine: 119, EndingLine: 158",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.45454547,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
checkstyle-1440,LongMethod,checkstyle,com.google.checkstyle.test.chapter4formatting.rule413emptyblocks.EmptyBlockTest.emptyBlockTest,Organic,"MLOC > 30, startingLine: 22, EndingLine: 66",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
checkstyle-1729,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.TreeWalker.appendHiddenCommentNodes([DetailAST]),Organic,"MLOC > 30, startingLine: 531, EndingLine: 588",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.2857143,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-1779,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck.getDetails([DetailAST]),Organic,"MLOC > 30, startingLine: 275, EndingLine: 358",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.33333334,1.0,1.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-1785,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck.visitToken([DetailAST]),Organic,"MLOC > 30, startingLine: 164, EndingLine: 223",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-1984,LongMethod,checkstyle,"com.puppycrawl.tools.checkstyle.checks.AbstractDeclarationCollector.collectDeclarations([Deque<LexicalFrame>, DetailAST])",Organic,"MLOC > 30, startingLine: 91, EndingLine: 139",4913b287c0739f88eed8bea42e63d416c3e1cf7c,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6666667,1.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-55,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.comments.CommentsTest.buildInput_1,Organic,"MLOC > 30, startingLine: 81, EndingLine: 262",57f395fa2b2dcea7dd369ab3dd52d3d42f0e0893,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-57,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.comments.CommentsTest.buildInput_2,Organic,"MLOC > 30, startingLine: 297, EndingLine: 594",57f395fa2b2dcea7dd369ab3dd52d3d42f0e0893,"['LongMethod', 'FeatureEnvy']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
