smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.cLOC,metrics.classLinesOfCode,metrics.mLOC,metrics.methodLinesOfCode,metrics.cC,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.maxCallChain,metrics.parameterCount,metrics.overrideRatio,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.maxNesting,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.nOAM,metrics.numberOfAccessorMethods,metrics.wMC,metrics.weightedMethodCount,metrics.wOC,metrics.weighOfClass,metrics.cINT,metrics.couplingIntensity,metrics.cDISP,metrics.couplingDispersion,metrics.changingClasses,metrics.changingMethods,metrics.lCOM,metrics.lackOfCohesionOfMethods,metrics.lCOM2,metrics.lCOM3,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.NumberOfCatchStatements,metrics.ExceptionalLOC,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount
checkstyle-179,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeOneSimpleHtmlTag,Organic,"MLOC > 30, startingLine: 58, EndingLine: 99",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-180,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeTextBeforeJavadocTags,Organic,"MLOC > 30, startingLine: 100, EndingLine: 237",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-181,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeCustomJavadocTags,Organic,"MLOC > 30, startingLine: 238, EndingLine: 309",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-182,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeJavadocTagDescriptionWithInlineTags,Organic,"MLOC > 30, startingLine: 310, EndingLine: 421",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-183,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeLeadingAsterisks,Organic,"MLOC > 30, startingLine: 422, EndingLine: 497",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-184,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeAuthorWithMailto,Organic,"MLOC > 30, startingLine: 498, EndingLine: 579",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-185,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeHtmlTagsInParagraph,Organic,"MLOC > 30, startingLine: 580, EndingLine: 781",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-186,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeLinkInlineTags,Organic,"MLOC > 30, startingLine: 782, EndingLine: 853",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-187,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeSeeReferenceWithFewNestedClasses,Organic,"MLOC > 30, startingLine: 854, EndingLine: 951",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
checkstyle-188,LongMethod,checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.ParseTreeBuilder.treeParamWithGeneric,Organic,"MLOC > 30, startingLine: 952, EndingLine: 1003",4913b287c0739f88eed8bea42e63d416c3e1cf7c,['LongMethod'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
