compositeID,commit_before,commit_after,element,smellTypes,project,cC,cDISP,cINT,cLOC,changingClasses,changingMethods,classLinesOfCode,couplingDispersion,couplingIntensity,cyclomaticComplexity,isAbstract,lCOM,lCOM2,lCOM3,lackOfCohesionOfMethods,mLOC,maxCallChain,maxNesting,methodLinesOfCode,nOAM,nOAV,numberOfAccessedVariables,numberOfAccessorMethods,overrideRatio,parameterCount,publicFieldCount,tCC,tightClassCohesion,wMC,wOC,weighOfClass,weightedMethodCount,additionalProperties.MethodEffectiveLinesOfCode,additionalProperties.NumberOfFinallyStatements,additionalProperties.ExceptionalLOC,additionalProperties.NumberOfCatchStatements,additionalProperties.NumberOfDummyExceptionHandlers,additionalProperties.NumberOfTryStatements,additionalProperties.NumberOfThrowStatements,additionalProperties.NumberOfTryStatementsWithNoCatchAndFinally,additionalProperties.ThrownExceptionTypesCount
effect-442,e0c330b1c0cdc5393db34e26d68da0c7ea651ce2,15f58aa7f26402b8e91b088b33b40583fe219f31,co.paralleluniverse.galaxy.example.PeerTKB.run,"['FeatureEnvy', 'LongMethod', 'DispersedCoupling']",quasar,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.53125,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,520.0,4.0,3.0,4.0,1.0,0.0,2.0
effect-193,655279b97d1f0336caaacb16f0298cb1a638e746,c7854d6b37b5d6b7425dfbe4e6b35a045a52de3e,"com.koushikdutta.async.http.SocketIOClient.attach([SocketIOConnectCallback, FutureImpl])","['FeatureEnvy', 'LongMethod', 'DispersedCoupling']",androidasync,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8461538553237915,13.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,1.0,0.0,1.0,8.0,0.0,0.0
effect-399,3404ae10f1ebe98a3a4309f6bef93fcae6db2305,da0028794739248c5127125c88a2e84170538cd3,com.netflix.hystrix.HystrixCommand.execute,"['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449999988079071,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,42.0,2.0,0.0,4.0,7.0,2.0,0.0
effect-1208,7b121c26aee2f53ad7e03bcc492b40545825aff4,5b48fc284ebe85ca4974985e3be005d37626e980,io.netty.channel.oio.AbstractOioByteChannel.doRead,"['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",netty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806355476379,31.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0
effect-1376,ab7786be4a8d9f3136772548ad0116b4bab7d8f5,5424f5bf6384869a7e629d775230a4d4bb3cbb75,"org.geoserver.rest.catalog.DataStoreFileController.dataStoresGet([String, String])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",geoserver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444477558136,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,108.0,2.0,0.0,2.0,3.0,0.0,1.0
effect-11,10a0e7796e8a32d9d432c2fb13491452b650f824,9720264ee2ffef883b0a5da01c90b0bdf6746eb1,com.afollestad.materialdialogs.MaterialDialog.MaterialDialog([Builder]),"['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",material-dialogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777910232544,18.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effect-60,c0d6d6c85daf60ea9568e88665ba84a571dee1a7,e712bb7c69c18f2acd572650a3364a0869196337,"com.netflix.hystrix.contrib.sample.stream.HystrixSampleSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,141.0,3.0,0.0,4.0,1.0,1.0,2.0
effect-399,ac613585b9cca0175fb95298aef6fa54d346cf19,8e0a43c3b1cff012dd4096443d1260242c5be646,"com.netflix.hystrix.HystrixCommand.toObservable([Scheduler, boolean])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666686534881,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,55.0,2.0,0.0,3.0,1.0,1.0,0.0
effect-399,52104a88a4d7a1ad20758f6e66c9704bb8ac9f1b,e8f1e1692a0140410a69fe5699ade5cf050eefca,"com.netflix.hystrix.HystrixCommand.toObservable([Scheduler, boolean])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666686534881,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,54.0,2.0,0.0,3.0,1.0,1.0,0.0
effect-1849,465dcc58c03c6d599f3a49264518416a7a608346,e38b9bcd1477f0e642a0a86a273a168c2179b871,"org.geoserver.importer.rest.ImportController.createImport([Long, ImportContext, boolean, boolean])","['FeatureEnvy', 'LongMethod', 'LongParameterList', 'IntensiveCoupling']",geoserver,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.2727272808551788,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,2.0,0.0,1.0,4.0,0.0,0.0
