compositeID,commit_before,commit_after,element,smellTypes,project,cC,cDISP,cINT,cLOC,changingClasses,changingMethods,classLinesOfCode,couplingDispersion,couplingIntensity,cyclomaticComplexity,isAbstract,lCOM,lCOM2,lCOM3,lackOfCohesionOfMethods,mLOC,maxCallChain,maxNesting,methodLinesOfCode,nOAM,nOAV,numberOfAccessedVariables,numberOfAccessorMethods,overrideRatio,parameterCount,publicFieldCount,tCC,tightClassCohesion,wMC,wOC,weighOfClass,weightedMethodCount,additionalProperties.MethodEffectiveLinesOfCode,additionalProperties.NumberOfFinallyStatements,additionalProperties.ExceptionalLOC,additionalProperties.NumberOfCatchStatements,additionalProperties.NumberOfDummyExceptionHandlers,additionalProperties.NumberOfTryStatements,additionalProperties.NumberOfThrowStatements,additionalProperties.NumberOfTryStatementsWithNoCatchAndFinally,additionalProperties.ThrownExceptionTypesCount
effect-1563,429c142097888b459a68d55836506d79609c1aa1,400c63820a33187544ba5076957016be459bb9ee,integration.tests.JoinCollectionAndMapIT.should_persist_join_collection_and_map,"['FeatureEnvy', 'LongMethod', 'MessageChain']",achilles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
effect-234,1b318a23db0f48d2ce59806e6b26b5b52e57b4d6,7892f827504b6a51228ed79a054d936bdc330000,"info.archinnov.achilles.internal.statement.prepared.PreparedStatementBinder.bindForCollectionAndMapUpdate([PersistentStateHolder, PreparedStatement, DirtyCheckChangeSet])","['FeatureEnvy', 'LongMethod', 'MessageChain', 'ShotgunSurgery']",achilles,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.4117647111415863,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
effect-193,655279b97d1f0336caaacb16f0298cb1a638e746,c7854d6b37b5d6b7425dfbe4e6b35a045a52de3e,"com.koushikdutta.async.http.SocketIOClient.connect([AsyncHttpClient, SocketIORequest, SocketIOConnectCallback])",['LongMethod'],androidasync,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666865348816,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,1.0,0.0,1.0,1.0,0.0,0.0
effect-193,655279b97d1f0336caaacb16f0298cb1a638e746,c7854d6b37b5d6b7425dfbe4e6b35a045a52de3e,"com.koushikdutta.async.http.SocketIOClient.attach([SocketIOConnectCallback, FutureImpl])","['FeatureEnvy', 'LongMethod', 'DispersedCoupling']",androidasync,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8461538553237915,13.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,1.0,0.0,1.0,8.0,0.0,0.0
effect-193,0249f29c1bb8037b72f860b12295dcbfb15d6f28,54aa882d7defa633c341d67e5324cef5d416eac6,"com.koushikdutta.async.http.SocketIOClient.connect([AsyncHttpClient, String, SocketIOConnectCallback])",['LongMethod'],androidasync,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,1.0,0.0,1.0,1.0,0.0,0.0
effect-193,4fd132ba0f8c11f33c49372a074e6d0a6e9a4a0a,6a66a9bbe058d0a345ceb94c6efd0209e4dabaca,"com.koushikdutta.async.http.SocketIOClient.connect([AsyncHttpClient, String, SocketIOConnectCallback])",['LongMethod'],androidasync,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,1.0,0.0,1.0,1.0,0.0,0.0
effect-1849,465dcc58c03c6d599f3a49264518416a7a608346,e38b9bcd1477f0e642a0a86a273a168c2179b871,"org.geoserver.importer.rest.ImportController.createImport([Long, ImportContext, boolean, boolean])","['FeatureEnvy', 'LongMethod', 'LongParameterList', 'IntensiveCoupling']",geoserver,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.27272728085517883,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,2.0,0.0,1.0,4.0,0.0,0.0
effect-1376,ab7786be4a8d9f3136772548ad0116b4bab7d8f5,5424f5bf6384869a7e629d775230a4d4bb3cbb75,"org.geoserver.rest.catalog.DataStoreFileController.dataStoresGet([String, String])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",geoserver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444477558136,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,108.0,2.0,0.0,2.0,3.0,0.0,1.0
effect-2135,280b9d13a0971b640fa388c4c88e182b93b6858c,4f059e564329b134cb5dc10021b09fc120c9117b,org.geoserver.gwc.layer.GeoServerTileLayer.getBounds([SRS]),['LongMethod'],geoserver,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666865348816,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,120.0,4.0,0.0,4.0,4.0,0.0,0.0
effect-2347,ab7786be4a8d9f3136772548ad0116b4bab7d8f5,5424f5bf6384869a7e629d775230a4d4bb3cbb75,org.geoserver.wms.kvp.PALFileLoader.PALFileLoader([Resource]),['LongMethod'],geoserver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,55.0,4.0,0.0,2.0,4.0,0.0,0.0
